** World Map Location info
** name : row : col : fromMapIndex : getMapIndex : terrain : teleporter : monsterFrequencies : riddlePoints
TEMP:-1:-1:-1:-1:2:(-1 -1 -1 ?):[]:[]
ship:-1:-1:-1:-1:2:(-1 -1 -1 ?):[]:[]
Suman lair:988:122:0:2:37:(2 89 177 mountain_lair):[[x=53,y=4]]:[]
Hinokstoe Commons:722:68:0:-1:30:(2 -1 -1 ?):[]:[]
Tasimum Mission:54:978:0:-1:24:(2 -1 -1 ?):[]:[]
Cometar den:193:212:0:-1:37:(2 -1 -1 ?):[]:[]
Sudis shaft:856:781:0:-1:38:(2 -1 -1 ?):[]:[]
Greater Hanonok:941:516:0:-1:26:(2 -1 -1 ?):[]:[]
Hanonok Hippodrome:941:518:0:-1:28:(2 -1 -1 ?):[]:[]
Bid Shrine:296:322:0:-1:24:(2 -1 -1 ?):[]:[]
Hukutis Santuary:872:91:0:-1:24:(2 -1 -1 ?):[]:[]
Sidad mine:493:922:0:-1:38:(2 -1 -1 ?):[]:[]
Dragons Kinerum:721:815:0:-1:33:(2 -1 -1 ?):[]:[]
Guralfolk City:548:386:0:-1:22:(2 -1 -1 ?):[]:[]
Knights Canorham:690:63:0:-1:22:(2 -1 -1 ?):[]:[]
Somek quarry:254:308:0:-1:38:(2 -1 -1 ?):[]:[]
Jipebat cavern:593:166:0:-1:35:(2 -1 -1 ?):[]:[]
Shokam quarry:809:884:0:-1:38:(2 -1 -1 ?):[]:[]
Jitasoc Shrine:358:326:0:-1:24:(2 -1 -1 ?):[]:[]
Makibthane Manor:221:193:0:-1:23:(2 -1 -1 ?):[]:[]
Jur quarry:274:569:0:-1:38:(2 -1 -1 ?):[]:[]
Jedidac Manor:656:881:0:-1:30:(2 -1 -1 ?):[]:[]
Selasington Yard:775:866:0:-1:34:(2 -1 -1 ?):[]:[]
Cidod shaft:156:676:0:-1:38:(2 -1 -1 ?):[]:[]
Nilecdunn Town:866:288:0:-1:22:(2 -1 -1 ?):[]:[]
Mekamem fount:917:271:0:-1:38:(2 -1 -1 ?):[]:[]
Heroes Dildunn:492:923:0:-1:21:(2 -1 -1 ?):[]:[]
Chopos den:150:425:0:-1:36:(2 -1 -1 ?):[]:[]
Royal Hucon:858:596:0:-1:26:(2 -1 -1 ?):[]:[]
Hucon Odeum:858:598:0:-1:28:(2 -1 -1 ?):[]:[]
Telilkirk Yard:212:547:0:-1:34:(2 -1 -1 ?):[]:[]
Kuripville City:355:443:0:-1:33:(2 -1 -1 ?):[]:[]
Tabos hollow:775:975:0:-1:35:(2 -1 -1 ?):[]:[]
Jonuk cavern:68:210:0:-1:36:(2 -1 -1 ?):[]:[]
Jitimas Township:332:481:0:-1:21:(2 -1 -1 ?):[]:[]
Bakulos Manor:884:284:0:-1:24:(2 -1 -1 ?):[]:[]
Nudotek Ruins:109:700:0:-1:24:(2 -1 -1 ?):[]:[]
Ronub Santuary:850:630:0:-1:24:(2 -1 -1 ?):[]:[]
Thakirat burrow:794:881:0:-1:36:(2 -1 -1 ?):[]:[]
Stilipshot Commons:509:232:0:-1:26:(2 -1 -1 ?):[]:[]
Nobop Tabernacle:948:160:0:-1:24:(2 -1 -1 ?):[]:[]
Hadac Temple:34:686:0:-1:24:(2 -1 -1 ?):[]:[]
Knights Kemupshire:427:795:0:-1:33:(2 -1 -1 ?):[]:[]
Waters Shanadot:210:235:0:-1:34:(2 -1 -1 ?):[]:[]
Sibiduk Commons:628:295:0:-1:26:(2 -1 -1 ?):[]:[]
Sedatuc burrow:436:961:0:-1:35:(2 -1 -1 ?):[]:[]
Dragons Studford:342:920:0:-1:26:(2 -1 -1 ?):[]:[]
Hirasoc cave:670:10:0:-1:35:(2 -1 -1 ?):[]:[]
Midup grotto:470:304:0:-1:37:(2 -1 -1 ?):[]:[]
Tucalot Keep:639:995:0:-1:33:(2 -1 -1 ?):[]:[]
Fotec cave:24:537:0:-1:35:(2 -1 -1 ?):[]:[]
Kepester Keep:919:76:0:-1:30:(2 -1 -1 ?):[]:[]
Bimumil Passing:955:384:0:-1:41:(2 -1 -1 ?):[]:[]
Thilupim Tabernacle:656:523:0:-1:24:(2 -1 -1 ?):[]:[]
Mokon grotto:261:804:0:-1:37:(2 -1 -1 ?):[]:[]
Tebar mine:76:641:0:-1:38:(2 -1 -1 ?):[]:[]
Catibol shaft:100:149:0:-1:38:(2 -1 -1 ?):[]:[]
Pesit Manor:595:504:0:-1:24:(2 -1 -1 ?):[]:[]
Middle Bicbridge:248:684:0:-1:23:(2 -1 -1 ?):[]:[]
Thopekul cavern:104:451:0:-1:36:(2 -1 -1 ?):[]:[]
Boral burrow:995:791:0:-1:35:(2 -1 -1 ?):[]:[]
Sosathope Hold:350:717:0:-1:23:(2 -1 -1 ?):[]:[]
Murir den:269:523:0:-1:37:(2 -1 -1 ?):[]:[]
Lubis keep:107:327:0:-1:37:(2 -1 -1 ?):[]:[]
Kemut Chapel:879:951:0:-1:24:(2 -1 -1 ?):[]:[]
Kedob cavern:59:247:0:-1:35:(2 -1 -1 ?):[]:[]
Tuc fount:780:689:0:-1:38:(2 -1 -1 ?):[]:[]
Gulac Temple:513:637:0:-1:24:(2 -1 -1 ?):[]:[]
Ledadkirk Town:614:635:0:-1:23:(2 -1 -1 ?):[]:[]
Hepip nest:623:109:0:-1:37:(2 -1 -1 ?):[]:[]
Nasil mine:993:793:0:-1:38:(2 -1 -1 ?):[]:[]
Bopol Manor:135:721:0:-1:24:(2 -1 -1 ?):[]:[]
Kitobis burrow:280:48:0:-1:37:(2 -1 -1 ?):[]:[]
Therik hollow:878:36:0:-1:35:(2 -1 -1 ?):[]:[]
Charak Temple:657:68:0:-1:24:(2 -1 -1 ?):[]:[]
Misebub Chapel:342:272:0:-1:24:(2 -1 -1 ?):[]:[]
Stebus Gorge:464:693:0:-1:41:(2 -1 -1 ?):[]:[]
Hesepip Hold:590:584:0:-1:23:(2 -1 -1 ?):[]:[]
Kedor hollow:676:398:0:-1:36:(2 -1 -1 ?):[]:[]
Selip cave:566:4:0:-1:35:(2 -1 -1 ?):[]:[]
Bobstow Township:458:613:0:-1:33:(2 -1 -1 ?):[]:[]
Lucal nest:355:370:0:-1:37:(2 -1 -1 ?):[]:[]
Fom hold:857:919:0:-1:37:(2 -1 -1 ?):[]:[]
Danucoc Clove:833:426:0:-1:41:(2 -1 -1 ?):[]:[]
Businam den:812:967:0:-1:37:(2 -1 -1 ?):[]:[]
Lower Tamamshire:737:124:0:-1:34:(2 -1 -1 ?):[]:[]
Lower Sulelom:79:809:0:-1:32:(2 -1 -1 ?):[]:[]
Huken Cathedral:845:559:0:-1:24:(2 -1 -1 ?):[]:[]
Tip Chapel:154:959:0:-1:24:(2 -1 -1 ?):[]:[]
Kings Retitir:37:217:0:-1:21:(2 -1 -1 ?):[]:[]
Liderford Docks:928:660:0:-1:34:(2 -1 -1 ?):[]:[]
Ditodur Proper:252:53:0:-1:33:(2 -1 -1 ?):[]:[]
Gic mine:893:940:0:-1:38:(2 -1 -1 ?):[]:[]
Liroreb Gorge:787:677:0:-1:41:(2 -1 -1 ?):[]:[]
Penakford Cove:947:568:0:-1:34:(2 -1 -1 ?):[]:[]
Fepet shaft:411:698:0:-1:38:(2 -1 -1 ?):[]:[]
Pamekap Commons:468:127:0:-1:33:(2 -1 -1 ?):[]:[]
Loposes Mission:324:372:0:-1:24:(2 -1 -1 ?):[]:[]
Hepak Tabernacle:784:775:0:-1:24:(2 -1 -1 ?):[]:[]
Thilat Pantheon:882:737:0:-1:24:(2 -1 -1 ?):[]:[]
Sesodmore Anchorage:159:665:0:-1:34:(2 -1 -1 ?):[]:[]
Hemet Manor:657:984:0:-1:24:(2 -1 -1 ?):[]:[]
Lirol hollow:689:271:0:-1:35:(2 -1 -1 ?):[]:[]
Cutir shaft:912:428:0:-1:38:(2 -1 -1 ?):[]:[]
Tisenir fount:161:468:0:-1:38:(2 -1 -1 ?):[]:[]
Heroes Jadisup:6:948:0:-1:23:(2 -1 -1 ?):[]:[]
Kings Pucokib:878:254:0:-1:23:(2 -1 -1 ?):[]:[]
Shabusib cavern:55:174:0:-1:35:(2 -1 -1 ?):[]:[]
Cukas nest:694:750:0:-1:37:(2 -1 -1 ?):[]:[]
Nisidgate Manor:811:490:0:-1:26:(2 -1 -1 ?):[]:[]
Old Fabobot:784:491:0:-1:21:(2 -1 -1 ?):[]:[]
Port Kopthane:210:739:0:-1:34:(2 -1 -1 ?):[]:[]
Lasakip burrow:315:564:0:-1:37:(2 -1 -1 ?):[]:[]
Hulaber Keep:473:353:0:-1:26:(2 -1 -1 ?):[]:[]
Hulaber Hippodrome:473:355:0:-1:28:(2 -1 -1 ?):[]:[]
Dederfield Township:686:90:0:-1:32:(2 -1 -1 ?):[]:[]
Mununington City:266:2:0:-1:23:(2 -1 -1 ?):[]:[]
Menicum quarry:396:312:0:-1:38:(2 -1 -1 ?):[]:[]
Korelul Mission:657:292:0:-1:24:(2 -1 -1 ?):[]:[]
Cucanib Mission:921:750:0:-1:24:(2 -1 -1 ?):[]:[]
Middle Gemicdover:456:531:0:-1:22:(2 -1 -1 ?):[]:[]
Carabep Chapel:68:308:0:-1:24:(2 -1 -1 ?):[]:[]
Helus hollow:944:710:0:-1:35:(2 -1 -1 ?):[]:[]
Nemolun fount:929:308:0:-1:38:(2 -1 -1 ?):[]:[]
Dragons Dotworth:109:171:0:-1:33:(2 -1 -1 ?):[]:[]
New Hupepit:765:567:0:-1:34:(2 -1 -1 ?):[]:[]
New Stacudholm:88:587:0:-1:21:(2 -1 -1 ?):[]:[]
Dekusup den:45:150:0:-1:37:(2 -1 -1 ?):[]:[]
Lower Jelstow:850:540:0:-1:21:(2 -1 -1 ?):[]:[]
Rurotus hollow:597:362:0:-1:35:(2 -1 -1 ?):[]:[]
Gupiloc burrow:444:963:0:-1:35:(2 -1 -1 ?):[]:[]
Bukunib Ruins:219:431:0:-1:24:(2 -1 -1 ?):[]:[]
Tatukbridge Town:15:273:0:-1:26:(2 -1 -1 ?):[]:[]
New Stetitic:277:108:0:-1:26:(2 -1 -1 ?):[]:[]
Stisas Cathedral:174:541:0:-1:24:(2 -1 -1 ?):[]:[]
Thidisking Keep:124:660:0:-1:33:(2 -1 -1 ?):[]:[]
Juten Mission:492:19:0:-1:24:(2 -1 -1 ?):[]:[]
Kikak Gap:51:152:0:-1:41:(2 -1 -1 ?):[]:[]
New Deribpike:605:792:0:-1:30:(2 -1 -1 ?):[]:[]
Waters Rokuceb:750:475:0:-1:34:(2 -1 -1 ?):[]:[]
Kapek grotto:660:660:0:-1:36:(2 -1 -1 ?):[]:[]
Kings Kucshire:39:254:0:-1:33:(2 -1 -1 ?):[]:[]
Dragons Madelek:474:143:0:-1:30:(2 -1 -1 ?):[]:[]
Lotuk den:372:869:0:-1:35:(2 -1 -1 ?):[]:[]
Chopal den:622:536:0:-1:37:(2 -1 -1 ?):[]:[]
Siladab City:556:138:0:-1:32:(2 -1 -1 ?):[]:[]
Thobunud Clove:213:135:0:-1:41:(2 -1 -1 ?):[]:[]
Kirirac keep:270:808:0:-1:37:(2 -1 -1 ?):[]:[]
Shat Valley:169:120:0:-1:41:(2 -1 -1 ?):[]:[]
Malam grotto:388:111:0:-1:35:(2 -1 -1 ?):[]:[]
Gerusar fount:198:897:0:-1:38:(2 -1 -1 ?):[]:[]
Cos grotto:298:577:0:-1:35:(2 -1 -1 ?):[]:[]
Simib keep:322:579:0:-1:37:(2 -1 -1 ?):[]:[]
Hubep Mission:980:913:0:-1:24:(2 -1 -1 ?):[]:[]
Therit hollow:766:682:0:-1:35:(2 -1 -1 ?):[]:[]
Fikuc fount:612:185:0:-1:38:(2 -1 -1 ?):[]:[]
Ches Mission:615:67:0:-1:24:(2 -1 -1 ?):[]:[]
Secor quarry:936:737:0:-1:38:(2 -1 -1 ?):[]:[]
Piberat Mission:470:503:0:-1:24:(2 -1 -1 ?):[]:[]
